RecordDate,AgencyName,FiscalYear,RestatementFlag,Measures,Amount (in Billions)
2022-09-30,Department of Veterans Affairs,2022,N,Gross Cost,413.8
2022-09-30,Department of Veterans Affairs,2022,N,Earned Revenue,5.4
2022-09-30,Department of Veterans Affairs,2022,N,Subtotal,408.4
2022-09-30,Department of Veterans Affairs,2022,N,Change in Assumptions,1526.5
2022-09-30,Department of Veterans Affairs,2022,N,Net Cost,1934.9
2022-09-30,Department of Health and Human Services,2022,N,Gross Cost,1812.7
2022-09-30,Department of Health and Human Services,2022,N,Earned Revenue,154.1
2022-09-30,Department of Health and Human Services,2022,N,Subtotal,1658.6
2022-09-30,Department of Health and Human Services,2022,N,Change in Assumptions,1.4
2022-09-30,Department of Health and Human Services,2022,N,Net Cost,1660
2022-09-30,Department of Defense,2022,N,Gross Cost,979.6
2022-09-30,Department of Defense,2022,N,Earned Revenue,47.6
2022-09-30,Department of Defense,2022,N,Subtotal,932
2022-09-30,Department of Defense,2022,N,Change in Assumptions,527
2022-09-30,Department of Defense,2022,N,Net Cost,1459
2022-09-30,Social Security Administration,2022,N,Gross Cost,1294.4
2022-09-30,Social Security Administration,2022,N,Earned Revenue,0.3
2022-09-30,Social Security Administration,2022,N,Subtotal,1294.1
2022-09-30,Social Security Administration,2022,N,Change in Assumptions,0
2022-09-30,Social Security Administration,2022,N,Net Cost,1294.1
2022-09-30,Department of Education,2022,N,Gross Cost,595.1
2022-09-30,Department of Education,2022,N,Earned Revenue,55.6
2022-09-30,Department of Education,2022,N,Subtotal,539.5
2022-09-30,Department of Education,2022,N,Change in Assumptions,0
2022-09-30,Department of Education,2022,N,Net Cost,539.5
2022-09-30,Department of the Treasury,2022,N,Gross Cost,557.7
2022-09-30,Department of the Treasury,2022,N,Earned Revenue,31.3
2022-09-30,Department of the Treasury,2022,N,Subtotal,526.4
2022-09-30,Department of the Treasury,2022,N,Change in Assumptions,0
2022-09-30,Department of the Treasury,2022,N,Net Cost,526.4
2022-09-30,Interest on Treasury Securities held by the public,2022,N,Gross Cost,496.5
2022-09-30,Interest on Treasury Securities held by the public,2022,N,Earned Revenue,0
2022-09-30,Interest on Treasury Securities held by the public,2022,N,Subtotal,496.5
2022-09-30,Interest on Treasury Securities held by the public,2022,N,Change in Assumptions,0
2022-09-30,Interest on Treasury Securities held by the public,2022,N,Net Cost,496.5
2022-09-30,Office of Personnel Management,2022,N,Gross Cost,174.5
2022-09-30,Office of Personnel Management,2022,N,Earned Revenue,27.3
2022-09-30,Office of Personnel Management,2022,N,Subtotal,147.2
2022-09-30,Office of Personnel Management,2022,N,Change in Assumptions,148.2
2022-09-30,Office of Personnel Management,2022,N,Net Cost,295.4
2022-09-30,Department of Agriculture,2022,N,Gross Cost,250.5
2022-09-30,Department of Agriculture,2022,N,Earned Revenue,9.6
2022-09-30,Department of Agriculture,2022,N,Subtotal,240.9
2022-09-30,Department of Agriculture,2022,N,Change in Assumptions,0
2022-09-30,Department of Agriculture,2022,N,Net Cost,240.9
2022-09-30,Department of Transportation,2022,N,Gross Cost,116.4
2022-09-30,Department of Transportation,2022,N,Earned Revenue,1
2022-09-30,Department of Transportation,2022,N,Subtotal,115.4
2022-09-30,Department of Transportation,2022,N,Change in Assumptions,0
2022-09-30,Department of Transportation,2022,N,Net Cost,115.4
2022-09-30,Department of Homeland Security,2022,N,Gross Cost,102.2
2022-09-30,Department of Homeland Security,2022,N,Earned Revenue,14.8
2022-09-30,Department of Homeland Security,2022,N,Subtotal,87.4
2022-09-30,Department of Homeland Security,2022,N,Change in Assumptions,1.2
2022-09-30,Department of Homeland Security,2022,N,Net Cost,88.6
2022-09-30,Security Assistance Accounts,2022,N,Gross Cost,102.1
2022-09-30,Security Assistance Accounts,2022,N,Earned Revenue,19.3
2022-09-30,Security Assistance Accounts,2022,N,Subtotal,82.8
2022-09-30,Security Assistance Accounts,2022,N,Change in Assumptions,0
2022-09-30,Security Assistance Accounts,2022,N,Net Cost,82.8
2022-09-30,Small Business Administration,2022,N,Gross Cost,47.8
2022-09-30,Small Business Administration,2022,N,Earned Revenue,4.3
2022-09-30,Small Business Administration,2022,N,Subtotal,43.5
2022-09-30,Small Business Administration,2022,N,Change in Assumptions,0
2022-09-30,Small Business Administration,2022,N,Net Cost,43.5
2022-09-30,Department of Labor,2022,N,Gross Cost,42.4
2022-09-30,Department of Labor,2022,N,Earned Revenue,0
2022-09-30,Department of Labor,2022,N,Subtotal,42.4
2022-09-30,Department of Labor,2022,N,Change in Assumptions,0
2022-09-30,Department of Labor,2022,N,Net Cost,42.4
2022-09-30,Department of Justice,2022,N,Gross Cost,42.4
2022-09-30,Department of Justice,2022,N,Earned Revenue,1.2
2022-09-30,Department of Justice,2022,N,Subtotal,41.2
2022-09-30,Department of Justice,2022,N,Change in Assumptions,0
2022-09-30,Department of Justice,2022,N,Net Cost,41.2
2022-09-30,Department of State,2022,N,Gross Cost,40
2022-09-30,Department of State,2022,N,Earned Revenue,4.8
2022-09-30,Department of State,2022,N,Subtotal,35.2
2022-09-30,Department of State,2022,N,Change in Assumptions,3.4
2022-09-30,Department of State,2022,N,Net Cost,38.6
2022-09-30,Agency for International Development,2022,N,Gross Cost,29.5
2022-09-30,Agency for International Development,2022,N,Earned Revenue,0.1
2022-09-30,Agency for International Development,2022,N,Subtotal,29.4
2022-09-30,Agency for International Development,2022,N,Change in Assumptions,0
2022-09-30,Agency for International Development,2022,N,Net Cost,29.4
2022-09-30,Department of Energy,2022,N,Gross Cost,50.3
2022-09-30,Department of Energy,2022,N,Earned Revenue,22.4
2022-09-30,Department of Energy,2022,N,Subtotal,27.9
2022-09-30,Department of Energy,2022,N,Change in Assumptions,0
2022-09-30,Department of Energy,2022,N,Net Cost,27.9
2022-09-30,Department of Housing and Urban Development,2022,N,Gross Cost,28.2
2022-09-30,Department of Housing and Urban Development,2022,N,Earned Revenue,1.9
2022-09-30,Department of Housing and Urban Development,2022,N,Subtotal,26.3
2022-09-30,Department of Housing and Urban Development,2022,N,Change in Assumptions,0
2022-09-30,Department of Housing and Urban Development,2022,N,Net Cost,26.3
2022-09-30,Department of the Interior,2022,N,Gross Cost,28.3
2022-09-30,Department of the Interior,2022,N,Earned Revenue,2.6
2022-09-30,Department of the Interior,2022,N,Subtotal,25.7
2022-09-30,Department of the Interior,2022,N,Change in Assumptions,0
2022-09-30,Department of the Interior,2022,N,Net Cost,25.7
2022-09-30,National Aeronautics and Space Administration,2022,N,Gross Cost,22.3
2022-09-30,National Aeronautics and Space Administration,2022,N,Earned Revenue,0.3
2022-09-30,National Aeronautics and Space Administration,2022,N,Subtotal,22
2022-09-30,National Aeronautics and Space Administration,2022,N,Change in Assumptions,0
2022-09-30,National Aeronautics and Space Administration,2022,N,Net Cost,22
2022-09-30,Federal Communications Commission,2022,N,Gross Cost,16
2022-09-30,Federal Communications Commission,2022,N,Earned Revenue,0.4
2022-09-30,Federal Communications Commission,2022,N,Subtotal,15.6
2022-09-30,Federal Communications Commission,2022,N,Change in Assumptions,0
2022-09-30,Federal Communications Commission,2022,N,Net Cost,15.6
2022-09-30,Department of Commerce,2022,N,Gross Cost,15.8
2022-09-30,Department of Commerce,2022,N,Earned Revenue,4.2
2022-09-30,Department of Commerce,2022,N,Subtotal,11.6
2022-09-30,Department of Commerce,2022,N,Change in Assumptions,0.1
2022-09-30,Department of Commerce,2022,N,Net Cost,11.7
2022-09-30,Environmental Protection Agency,2022,N,Gross Cost,9.8
2022-09-30,Environmental Protection Agency,2022,N,Earned Revenue,0.3
2022-09-30,Environmental Protection Agency,2022,N,Subtotal,9.5
2022-09-30,Environmental Protection Agency,2022,N,Change in Assumptions,0
2022-09-30,Environmental Protection Agency,2022,N,Net Cost,9.5
2022-09-30,National Science Foundation,2022,N,Gross Cost,8.2
2022-09-30,National Science Foundation,2022,N,Earned Revenue,0
2022-09-30,National Science Foundation,2022,N,Subtotal,8.2
2022-09-30,National Science Foundation,2022,N,Change in Assumptions,0
